model,source_adapter,prompt_strategy,target_class,saturation_level,text_type,total_candidates,valid_candidates,valid_rate,saturation_pass_rate,hjp_valid_rate,technical_plus_hjp_valid_rate,duplicate_rate,repeated_word_rate,average_saturation
ChatGPT Plus,manual_csv,paper_style,N,50.0,sentence,20,9,0.45,1.0,0.0,0.0,0.0,0.0,66.24847374847374
ChatGPT Plus,manual_csv,paper_style,N,50.0,word,20,18,0.9,0.95,0.0,0.0,0.0,0.0,69.83333333333333
ChatGPT Plus,manual_csv,paper_style,N,70.0,sentence,20,5,0.25,0.25,0.0,0.0,0.0,0.0,67.57783882783882
ChatGPT Plus,manual_csv,paper_style,N,70.0,word,20,11,0.55,1.0,0.0,0.0,0.0,0.0,83.91666666666666
ChatGPT Plus,manual_csv,paper_style,S,50.0,sentence,20,19,0.95,1.0,0.0,0.0,0.0,0.0,71.8626912303383
ChatGPT Plus,manual_csv,paper_style,S,50.0,word,20,20,1.0,1.0,0.0,0.0,0.0,0.0,85.66666666666666
ChatGPT Plus,manual_csv,paper_style,S,70.0,sentence,20,13,0.65,0.95,0.0,0.0,0.0,0.0,80.67582417582418
ChatGPT Plus,manual_csv,paper_style,S,70.0,word,20,1,0.05,1.0,0.0,0.0,0.0,0.0,91.41666666666666
ChatGPT Plus,manual_csv,paper_style,SN,50.0,sentence,20,16,0.8,0.9,0.0,0.0,0.0,0.0,60.57555802041096
ChatGPT Plus,manual_csv,paper_style,SN,50.0,word,20,19,0.95,0.95,0.0,0.0,0.0,0.0,73.83333333333334
ChatGPT Plus,manual_csv,paper_style,SN,70.0,sentence,20,1,0.05,0.35,0.0,0.0,0.0,0.0,66.75231141407612
ChatGPT Plus,manual_csv,paper_style,SN,70.0,word,20,14,0.7,1.0,0.0,0.0,0.0,0.0,84.83333333333334
ChatGPT Plus,manual_csv,paper_style,SV,50.0,sentence,18,17,0.9444444444444444,1.0,0.0,0.0,0.0,0.0,66.0235760971055
ChatGPT Plus,manual_csv,paper_style,SV,50.0,word,20,19,0.95,1.0,0.0,0.0,0.0,0.0,66.57142857142857
ChatGPT Plus,manual_csv,paper_style,SV,70.0,sentence,20,12,0.6,0.75,0.0,0.0,0.0,0.0,77.36952581302427
ChatGPT Plus,manual_csv,paper_style,SV,70.0,word,20,9,0.45,0.8,0.0,0.0,0.0,0.0,78.75
ChatGPT Plus,manual_csv,paper_style,V,50.0,sentence,20,16,0.8,0.85,0.0,0.0,0.0,0.0,57.08799533799534
ChatGPT Plus,manual_csv,paper_style,V,50.0,word,20,20,1.0,1.0,0.0,0.0,0.0,0.0,62.02380952380952
ChatGPT Plus,manual_csv,paper_style,V,70.0,sentence,20,9,0.45,0.55,0.0,0.0,0.0,0.0,69.63378288378289
ChatGPT Plus,manual_csv,paper_style,V,70.0,word,20,8,0.4,0.55,0.0,0.0,0.0,0.0,75.08333333333333
ChatGPT Plus,manual_csv,strict_plain_list,N,50.0,sentence,20,14,0.7,1.0,0.0,0.0,0.0,0.0,64.16643772893772
ChatGPT Plus,manual_csv,strict_plain_list,N,50.0,word,20,4,0.2,0.95,0.0,0.0,0.0,0.0,69.77380952380952
ChatGPT Plus,manual_csv,strict_plain_list,N,70.0,sentence,20,10,0.5,0.8,0.0,0.0,0.0,0.0,76.81318681318682
ChatGPT Plus,manual_csv,strict_plain_list,N,70.0,word,20,1,0.05,1.0,0.0,0.0,0.0,0.0,84.75
ChatGPT Plus,manual_csv,strict_plain_list,S,50.0,sentence,20,11,0.55,1.0,0.0,0.0,0.0,0.0,73.04126265890972
ChatGPT Plus,manual_csv,strict_plain_list,S,50.0,word,20,3,0.15,1.0,0.0,0.0,0.0,0.0,89.41666666666666
ChatGPT Plus,manual_csv,strict_plain_list,S,70.0,sentence,20,8,0.4,0.95,0.0,0.0,0.0,0.0,79.07900432900433
