model,source_adapter,prompt_strategy,target_class,saturation_level,text_type,total_candidates,valid_candidates,valid_rate,saturation_pass_rate,hjp_valid_rate,technical_plus_hjp_valid_rate,duplicate_rate,repeated_word_rate,average_saturation
ChatGPT Plus,manual_csv,paper_style,N,40.0,word,11,9,0.8181818181818182,1.0,0.8181818181818182,0.8181818181818182,0.0,0.0,67.55411255411255
ChatGPT Plus,manual_csv,paper_style,N,50.0,sentence,21,21,1.0,1.0,1.0,1.0,0.0,0.0,59.38252223966509
ChatGPT Plus,manual_csv,paper_style,N,50.0,word,11,4,0.36363636363636365,1.0,1.0,0.36363636363636365,0.0,0.0,70.15151515151514
ChatGPT Plus,manual_csv,paper_style,N,60.0,word,11,2,0.18181818181818182,1.0,1.0,0.18181818181818182,0.0,0.0,73.008658008658
ChatGPT Plus,manual_csv,paper_style,N,70.0,sentence,21,16,0.7619047619047619,0.7619047619047619,1.0,0.7619047619047619,0.0,0.0,75.09858621811297
ChatGPT Plus,manual_csv,paper_style,N,70.0,word,11,4,0.36363636363636365,1.0,0.9090909090909091,0.36363636363636365,0.0,0.0,82.85714285714286
ChatGPT Plus,manual_csv,paper_style,N,80.0,word,11,7,0.6363636363636364,1.0,0.9090909090909091,0.6363636363636364,0.0,0.0,92.72727272727273
ChatGPT Plus,manual_csv,paper_style,S,40.0,word,11,11,1.0,1.0,1.0,1.0,0.0,0.0,87.79220779220779
ChatGPT Plus,manual_csv,paper_style,S,50.0,sentence,21,21,1.0,1.0,1.0,1.0,0.0,0.0,78.534038671699
ChatGPT Plus,manual_csv,paper_style,S,50.0,word,11,2,0.18181818181818182,1.0,1.0,0.18181818181818182,0.0,0.0,88.22510822510823
ChatGPT Plus,manual_csv,paper_style,S,60.0,word,11,3,0.2727272727272727,1.0,1.0,0.2727272727272727,0.0,0.0,91.73160173160173
ChatGPT Plus,manual_csv,paper_style,S,70.0,sentence,21,18,0.8571428571428571,0.9523809523809523,1.0,0.8571428571428571,0.0,0.0,82.03309395978569
ChatGPT Plus,manual_csv,paper_style,S,70.0,word,11,1,0.09090909090909091,1.0,0.9090909090909091,0.09090909090909091,0.0,0.0,94.39393939393939
ChatGPT Plus,manual_csv,paper_style,S,80.0,word,11,3,0.2727272727272727,1.0,1.0,0.2727272727272727,0.0,0.0,94.84848484848484
ChatGPT Plus,manual_csv,paper_style,SN,40.0,word,11,10,0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,0.0,0.0,88.63636363636364
ChatGPT Plus,manual_csv,paper_style,SN,50.0,sentence,21,21,1.0,1.0,1.0,1.0,0.0,0.0,65.86136086136086
ChatGPT Plus,manual_csv,paper_style,SN,50.0,word,11,0,0.0,1.0,0.9090909090909091,0.0,0.0,0.0,88.63636363636364
ChatGPT Plus,manual_csv,paper_style,SN,60.0,word,11,1,0.09090909090909091,1.0,0.9090909090909091,0.09090909090909091,0.0,0.0,87.27272727272727
ChatGPT Plus,manual_csv,paper_style,SN,70.0,sentence,21,14,0.6666666666666666,0.9047619047619048,0.9047619047619048,0.5714285714285714,0.0,0.0,79.82573293497664
ChatGPT Plus,manual_csv,paper_style,SN,70.0,word,11,1,0.09090909090909091,1.0,0.9090909090909091,0.09090909090909091,0.0,0.0,92.27272727272727
ChatGPT Plus,manual_csv,paper_style,SN,80.0,word,11,2,0.18181818181818182,1.0,0.9090909090909091,0.09090909090909091,0.0,0.0,93.03030303030303
ChatGPT Plus,manual_csv,paper_style,SV,40.0,word,11,11,1.0,1.0,1.0,1.0,0.0,0.0,60.75757575757575
ChatGPT Plus,manual_csv,paper_style,SV,50.0,sentence,21,20,0.9523809523809523,1.0,1.0,0.9523809523809523,0.0,0.0,62.81785791239572
ChatGPT Plus,manual_csv,paper_style,SV,50.0,word,11,0,0.0,1.0,1.0,0.0,0.0,0.0,60.75757575757575
ChatGPT Plus,manual_csv,paper_style,SV,60.0,word,11,2,0.18181818181818182,0.8181818181818182,1.0,0.18181818181818182,0.0,0.0,66.17079889807162
ChatGPT Plus,manual_csv,paper_style,SV,70.0,sentence,21,14,0.6666666666666666,0.8571428571428571,0.7619047619047619,0.6666666666666666,0.0,0.0,77.95198848770276
ChatGPT Plus,manual_csv,paper_style,SV,70.0,word,11,1,0.09090909090909091,0.45454545454545453,0.9090909090909091,0.09090909090909091,0.0,0.0,72.95454545454545
ChatGPT Plus,manual_csv,paper_style,SV,80.0,word,11,6,0.5454545454545454,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.0,0.0,90.75757575757576
ChatGPT Plus,manual_csv,paper_style,V,40.0,word,11,11,1.0,1.0,1.0,1.0,0.0,0.0,55.49783549783549
ChatGPT Plus,manual_csv,paper_style,V,50.0,sentence,21,18,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,0.0,0.0,55.0350909594607
ChatGPT Plus,manual_csv,paper_style,V,50.0,word,11,4,0.36363636363636365,1.0,1.0,0.36363636363636365,0.0,0.0,66.81818181818181
ChatGPT Plus,manual_csv,paper_style,V,60.0,word,11,0,0.0,0.8181818181818182,1.0,0.0,0.0,0.0,67.46753246753246
ChatGPT Plus,manual_csv,paper_style,V,70.0,sentence,21,6,0.2857142857142857,0.3333333333333333,1.0,0.2857142857142857,0.0,0.0,67.08719851576994
ChatGPT Plus,manual_csv,paper_style,V,70.0,word,11,10,0.9090909090909091,1.0,1.0,0.9090909090909091,0.0,0.0,81.81818181818181
ChatGPT Plus,manual_csv,paper_style,V,80.0,word,11,2,0.18181818181818182,1.0,0.36363636363636365,0.09090909090909091,0.0,0.0,98.48484848484848
