model,source_adapter,prompt_strategy,target_class,saturation_level,text_type,failure_reason,count
ChatGPT Plus,manual_csv,paper_style,N,40.0,word,dictionary_failed,2
ChatGPT Plus,manual_csv,paper_style,N,50.0,word,duplicate,7
ChatGPT Plus,manual_csv,paper_style,N,60.0,word,duplicate,9
ChatGPT Plus,manual_csv,paper_style,N,70.0,sentence,failed_saturation,5
ChatGPT Plus,manual_csv,paper_style,N,70.0,word,dictionary_failed,2
ChatGPT Plus,manual_csv,paper_style,N,70.0,word,duplicate,6
ChatGPT Plus,manual_csv,paper_style,N,80.0,word,dictionary_failed,1
ChatGPT Plus,manual_csv,paper_style,N,80.0,word,duplicate,3
ChatGPT Plus,manual_csv,paper_style,S,50.0,word,duplicate,9
ChatGPT Plus,manual_csv,paper_style,S,60.0,word,duplicate,8
ChatGPT Plus,manual_csv,paper_style,S,70.0,sentence,duplicate,3
ChatGPT Plus,manual_csv,paper_style,S,70.0,sentence,failed_saturation,1
ChatGPT Plus,manual_csv,paper_style,S,70.0,word,dictionary_failed,1
ChatGPT Plus,manual_csv,paper_style,S,70.0,word,duplicate,9
ChatGPT Plus,manual_csv,paper_style,S,80.0,word,duplicate,8
ChatGPT Plus,manual_csv,paper_style,SN,40.0,word,dictionary_failed,1
ChatGPT Plus,manual_csv,paper_style,SN,50.0,word,dictionary_failed,1
ChatGPT Plus,manual_csv,paper_style,SN,50.0,word,duplicate,11
ChatGPT Plus,manual_csv,paper_style,SN,60.0,word,dictionary_failed,1
ChatGPT Plus,manual_csv,paper_style,SN,60.0,word,duplicate,10
ChatGPT Plus,manual_csv,paper_style,SN,70.0,sentence,duplicate,5
ChatGPT Plus,manual_csv,paper_style,SN,70.0,sentence,failed_saturation,2
ChatGPT Plus,manual_csv,paper_style,SN,70.0,word,dictionary_failed,1
ChatGPT Plus,manual_csv,paper_style,SN,70.0,word,duplicate,10
ChatGPT Plus,manual_csv,paper_style,SN,80.0,word,duplicate,9
ChatGPT Plus,manual_csv,paper_style,SV,50.0,sentence,dictionary_failed,1
ChatGPT Plus,manual_csv,paper_style,SV,50.0,word,duplicate,11
ChatGPT Plus,manual_csv,paper_style,SV,60.0,word,duplicate,8
ChatGPT Plus,manual_csv,paper_style,SV,60.0,word,failed_saturation,2
ChatGPT Plus,manual_csv,paper_style,SV,70.0,sentence,dictionary_failed,4
ChatGPT Plus,manual_csv,paper_style,SV,70.0,sentence,failed_saturation,3
ChatGPT Plus,manual_csv,paper_style,SV,70.0,word,dictionary_failed,1
ChatGPT Plus,manual_csv,paper_style,SV,70.0,word,duplicate,7
ChatGPT Plus,manual_csv,paper_style,SV,70.0,word,failed_saturation,6
ChatGPT Plus,manual_csv,paper_style,SV,80.0,word,dictionary_failed,2
ChatGPT Plus,manual_csv,paper_style,SV,80.0,word,duplicate,2
ChatGPT Plus,manual_csv,paper_style,SV,80.0,word,failed_saturation,1
ChatGPT Plus,manual_csv,paper_style,V,50.0,sentence,failed_saturation,3
ChatGPT Plus,manual_csv,paper_style,V,50.0,word,duplicate,7
ChatGPT Plus,manual_csv,paper_style,V,60.0,word,duplicate,11
ChatGPT Plus,manual_csv,paper_style,V,60.0,word,failed_saturation,2
ChatGPT Plus,manual_csv,paper_style,V,70.0,sentence,duplicate,4
ChatGPT Plus,manual_csv,paper_style,V,70.0,sentence,failed_saturation,14
ChatGPT Plus,manual_csv,paper_style,V,70.0,word,duplicate,1
ChatGPT Plus,manual_csv,paper_style,V,80.0,word,dictionary_failed,6
ChatGPT Plus,manual_csv,paper_style,V,80.0,word,duplicate,3
