model,prompt_strategy,target_class,saturation_level,text_type,pcd_version,candidate_count,average_pcd
ChatGPT Plus,paper_style,N,50.0,word,pcd_paper_style,18,0.5766339869281045
ChatGPT Plus,strict_plain_list,N,50.0,word,pcd_paper_style,4,0.6626984126984127
ChatGPT Plus,paper_style,N,50.0,sentence,pcd_paper_style,9,0.39609618776285443
ChatGPT Plus,strict_plain_list,N,50.0,sentence,pcd_paper_style,14,0.44149257336070524
ChatGPT Plus,paper_style,N,70.0,word,pcd_paper_style,11,0.5306060606060606
ChatGPT Plus,strict_plain_list,N,70.0,word,pcd_paper_style,1,0.0
ChatGPT Plus,paper_style,N,70.0,sentence,pcd_paper_style,5,0.3401098901098901
ChatGPT Plus,strict_plain_list,N,70.0,sentence,pcd_paper_style,10,0.38266178266178263
ChatGPT Plus,paper_style,SN,50.0,word,pcd_paper_style,19,0.5980506822612086
ChatGPT Plus,strict_plain_list,SN,50.0,word,pcd_paper_style,1,0.0
ChatGPT Plus,paper_style,SN,50.0,sentence,pcd_paper_style,16,0.3710714652994065
ChatGPT Plus,strict_plain_list,SN,50.0,sentence,pcd_paper_style,8,0.37362637362637363
ChatGPT Plus,paper_style,SN,70.0,word,pcd_paper_style,14,0.43241758241758244
ChatGPT Plus,paper_style,SN,70.0,sentence,pcd_paper_style,1,0.0
ChatGPT Plus,strict_plain_list,SN,70.0,sentence,pcd_paper_style,5,0.35984848484848486
ChatGPT Plus,paper_style,S,50.0,word,pcd_paper_style,20,0.4783333333333334
ChatGPT Plus,strict_plain_list,S,50.0,word,pcd_paper_style,3,0.5555555555555555
ChatGPT Plus,paper_style,S,50.0,sentence,pcd_paper_style,19,0.36954496598459446
ChatGPT Plus,strict_plain_list,S,50.0,sentence,pcd_paper_style,11,0.3610989010989011
ChatGPT Plus,paper_style,S,70.0,word,pcd_paper_style,1,0.0
ChatGPT Plus,paper_style,S,70.0,sentence,pcd_paper_style,13,0.2518033248802479
ChatGPT Plus,strict_plain_list,S,70.0,sentence,pcd_paper_style,8,0.2938579277864992
ChatGPT Plus,paper_style,SV,50.0,word,pcd_paper_style,19,0.5556367771280052
ChatGPT Plus,paper_style,SV,50.0,sentence,pcd_paper_style,17,0.4209544911875999
ChatGPT Plus,strict_plain_list,SV,50.0,sentence,pcd_paper_style,16,0.4163713295147119
ChatGPT Plus,paper_style,SV,70.0,word,pcd_paper_style,9,0.43253968253968256
ChatGPT Plus,paper_style,SV,70.0,sentence,pcd_paper_style,12,0.3742107307896782
ChatGPT Plus,strict_plain_list,SV,70.0,sentence,pcd_paper_style,8,0.3256017791732077
ChatGPT Plus,paper_style,V,50.0,word,pcd_paper_style,20,0.6617167919799499
ChatGPT Plus,strict_plain_list,V,50.0,word,pcd_paper_style,2,0.75
ChatGPT Plus,paper_style,V,50.0,sentence,pcd_paper_style,16,0.4488529526029526
ChatGPT Plus,strict_plain_list,V,50.0,sentence,pcd_paper_style,6,0.43037518037518036
ChatGPT Plus,paper_style,V,70.0,word,pcd_paper_style,8,0.4232142857142857
ChatGPT Plus,paper_style,V,70.0,sentence,pcd_paper_style,9,0.3663119288119288
ChatGPT Plus,strict_plain_list,V,70.0,sentence,pcd_paper_style,6,0.2727272727272727
