run_id,phoneme,count
20260604_160319,a,903
20260604_160319,b,252
20260604_160319,c,153
20260604_160319,d,321
20260604_160319,e,616
20260604_160319,f,1
20260604_160319,g,234
20260604_160319,h,13
20260604_160319,i,627
20260604_160319,j,179
20260604_160319,k,185
20260604_160319,l,287
20260604_160319,lj,28
20260604_160319,m,170
20260604_160319,n,225
20260604_160319,nj,56
20260604_160319,o,381
20260604_160319,p,169
20260604_160319,r,412
20260604_160319,s,273
20260604_160319,t,377
20260604_160319,u,538
20260604_160319,v,263
20260604_160319,z,75
20260604_160319,ć,31
20260604_160319,č,156
20260604_160319,đ,6
20260604_160319,š,130
20260604_160319,ž,27
